I,K, step, gamma, instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound, ue_assign, ue_misplace,POA_assign,POA_misplace
20,4,20,25,2,180993,578,195443,180993,191120,578,1443,195443,226778,6375,32625,226778,227195,0.0018388,875,190703,1443,1.053648484,2.496539792
20,4,20,25,3,204409,578,218859,204409,214647,578,1443,218859,249892,6459,32000,249892,250722,0.00332143,667,213817,1443,1.046025371,2.496539792
20,4,20,25,4,197894,578,212344,197894,209156,578,1443,212344,244850,6292,31917,244850,245231,0.00155605,583,208775,1443,1.054983981,2.496539792
20,4,20,25,5,184844,578,199294,184844,195036,578,1443,199294,230785,5916,25875,230785,231111,0.00141257,917,194710,1443,1.053374738,2.496539792
20,4,20,25,6,197520,578,211970,197520,207462,578,1443,211970,242570,6708,26000,242570,243537,0.00398648,625,206495,1443,1.045438437,2.496539792
20,4,20,25,7,177702,578,192152,177702,187823,578,1443,192152,223834,5958,31167,223834,223898,0.000285926,625,187759,1443,1.056594749,2.496539792
20,4,20,25,8,165526,578,179976,165526,176542,578,1443,179976,212434,6208,30792,212434,212617,0.000861444,625,176359,1443,1.065445912,2.496539792
20,4,20,25,9,177941,578,192391,177941,186493,578,1443,192391,222339,6125,30792,222339,222568,0.00102996,958,186264,1443,1.046773931,2.496539792
20,4,20,25,10,194296,578,208746,194296,203551,578,1443,208746,239444,4917,26750,239444,239626,0.000760094,709,203369,1443,1.046696793,2.496539792
20,4,20,30,1,189986,578,207326,189986,200409,578,1443,207326,243261,6834,25792,243261,243699,0.00180054,750,199971,1443,1.052556504,2.496539792
20,4,20,30,2,188078,578,205418,188078,198488,578,1443,205418,241440,6416,34750,241440,241778,0.00139993,792,198150,1443,1.05355225,2.496539792
20,4,20,30,3,190313,578,207653,190313,200392,578,1443,207653,243187,6500,30917,243187,243682,0.00203547,584,199897,1443,1.050359145,2.496539792
20,4,20,30,4,192464,578,209804,192464,203128,578,1443,209804,245183,6250,31000,245183,246418,0.00503705,792,201893,1443,1.04899098,2.496539792
20,4,20,30,5,196605,578,213945,196605,205491,578,1443,213945,247605,6167,31417,247605,248781,0.0047495,750,204315,1443,1.039215686,2.496539792
20,4,20,30,6,190374,578,207714,190374,201306,578,1443,207714,243890,6250,30417,243890,244596,0.00289475,667,200600,1443,1.053715318,2.496539792
20,4,20,30,7,171697,578,189037,171697,181889,578,1443,189037,224386,6083,29792,224386,225179,0.00353409,625,181096,1443,1.054741783,2.496539792
20,4,20,30,8,214906,578,232246,214906,223965,578,1443,232246,265994,6583,32083,265994,267255,0.00474071,625,222704,1443,1.036285632,2.496539792
20,4,20,30,9,199379,578,216719,199379,209741,578,1443,216719,251531,6333,31459,251531,253031,0.00596348,666,208241,1443,1.044448011,2.496539792
20,4,20,30,10,196455,578,213795,196455,206612,578,1443,213795,249462,5333,28209,249462,249902,0.0017638,958,206172,1443,1.049461709,2.496539792
20,4,20,35,1,193332,578,213562,193332,202812,578,1443,213562,252496,5375,26375,252496,253317,0.00325154,792,201991,1443,1.04478824,2.496539792
